"","t","contrast","estimate","std.error","conf.low","conf.high"
"1",1,"shift v. obs",-0.00661273379678563,0.00750528895629736,-0.0213228298446947,0.0080973622511234
"2",2,"shift v. obs",-0.00550658732786968,0.0110629266784822,-0.0271895251813022,0.0161763505255628
"3",3,"shift v. obs",-0.0516882140028341,0.0201546023867612,-0.091190508803611,-0.0121859192020571
"4",4,"shift v. obs",-0.0655349506441653,0.0264811088856709,-0.117436970330764,-0.0136329309575667
"5",5,"shift v. obs",-0.0723702977376299,0.0369048416088169,-0.144702458146066,-3.8137329193666e-05
"6",1,"shift v. obs",-0.00611101933547084,0.00732771917071804,-0.0204730849989019,0.00825104632796022
"7",2,"shift v. obs",-0.00699053053447218,0.0101550956950084,-0.0268941523562463,0.012913091287302
"8",3,"shift v. obs",-0.0468217443305039,0.0167957281935015,-0.0797407666838908,-0.013902721977117
"9",4,"shift v. obs",-0.0552565655420142,0.0210374128751036,-0.0964891371051164,-0.0140239939789119
"10",5,"shift v. obs",-0.0596026711429238,0.0281816082655912,-0.114837608369899,-0.00436773391594871
"11",1,"shift v. obs",-0.0027272402561653,0.00558651858076612,-0.0136766154734307,0.00822213496110011
"12",2,"shift v. obs",-0.000429866315527438,0.00723186970811384,-0.0146040704843168,0.0137443378532619
"13",3,"shift v. obs",-0.00732103198496681,0.0147627006557458,-0.0362553935847744,0.0216133296148408
"14",4,"shift v. obs",-0.00361039649466333,0.0215807747971277,-0.0459079378555033,0.0386871448661766
"15",5,"shift v. obs",-0.0107012350660111,0.025927999889418,-0.0615191810404289,0.0401167109084068
"16",1,"shift v. obs",-0.00153391685047961,0.00440343180175242,-0.0101644845902927,0.00709665088933344
"17",2,"shift v. obs",0.00318833583377542,0.00572319727906727,-0.00802892470961405,0.0144055963771649
"18",3,"shift v. obs",0.00323877831861918,0.00993494306700968,-0.0162333522811757,0.022710908918414
"19",4,"shift v. obs",0.00759394896116139,0.0124260636941074,-0.0167606883488899,0.0319485862712127
"20",5,"shift v. obs",-0.0119480940595086,0.0132714835250915,-0.0379597237901046,0.0140635356710874
