"","t","shift","estimate","std.error","conf.low","conf.high"
"1",1,"mult",0.0924166062753402,0.0145478238387728,0.0639033954979122,0.120929817052768
"2",1,"obs",0.0990293400721258,0.0149855145850865,0.0696582711955566,0.128400408948695
"3",2,"mult",0.152488648585767,0.0196011724691886,0.114071056491399,0.190906240680134
"4",2,"obs",0.157995235913636,0.0189295390335577,0.120894021163918,0.195096450663355
"5",3,"mult",0.242118282722037,0.0270455380497776,0.189110002201965,0.295126563242109
"6",3,"obs",0.293806496724871,0.0261265304590581,0.242599437984129,0.345013555465614
"7",4,"mult",0.316716758418134,0.0342881026904072,0.249513312046725,0.383920204789543
"8",4,"obs",0.382251709062299,0.0288342889554577,0.325737541189781,0.438765876934817
"9",5,"mult",0.375866843518242,0.045607526221458,0.286477734700218,0.465255952336266
"10",5,"obs",0.448237141255872,0.029964907051606,0.389507002634634,0.50696727987711
"11",1,"mult",0.092918320736655,0.014868863904446,0.0637758829929132,0.122060758480397
"12",2,"mult",0.151004705379164,0.0191471472542854,0.11347698635408,0.188532424404249
"13",3,"mult",0.246984752394367,0.0242302290584159,0.199494376102717,0.294475128686018
"14",4,"mult",0.326995143520285,0.0293134761450991,0.269541786014217,0.384448501026353
"15",5,"mult",0.388634470112948,0.0372486814393208,0.315628396020274,0.461640544205622
"16",1,"mult",0.0963020998159605,0.0147556924708367,0.0673814740061718,0.125222725625749
"17",2,"mult",0.157565369598109,0.0190697163608081,0.120189412335531,0.194941326860687
"18",3,"mult",0.286485464739905,0.027123000629362,0.233325360353698,0.339645569126111
"19",4,"mult",0.378641312567636,0.0337049538184144,0.312580816982958,0.444701808152314
"20",5,"mult",0.437535906189861,0.0381665145846898,0.362730912188446,0.512340900191276
"21",1,"mult",0.0974954232216462,0.0148220967436972,0.0684446474286312,0.126546199014661
"22",2,"mult",0.161183571747412,0.0192074683739984,0.123537625500183,0.198829517994641
"23",3,"mult",0.297045275043491,0.0249783895899466,0.248088531055385,0.346002019031596
"24",4,"mult",0.38984565802346,0.0280142097292088,0.33493881589886,0.444752500148061
"25",5,"mult",0.436289047196363,0.0285746951285802,0.380283673875134,0.492294420517593
