"","t","shift","estimate","std.error","conf.low","conf.high"
"1",1,"mult",0.0943701281587355,0.0155149788010123,0.0639613284878489,0.124778927829622
"2",1,"obs",0.0966097631848754,0.0149907155361259,0.0672285006315837,0.125991025738167
"3",2,"mult",0.149644259571827,0.0193744704920523,0.111670995187871,0.187617523955784
"4",2,"obs",0.159696357367831,0.0189274762974091,0.122599185506674,0.196793529228988
"5",3,"mult",0.257412997265933,0.0257193369653531,0.207004023107592,0.307821971424275
"6",3,"obs",0.296057372670303,0.0259680689266224,0.24516089282607,0.346953852514537
"7",4,"mult",0.331466734254201,0.0310328339975284,0.270643497280835,0.392289971227567
"8",4,"obs",0.387015831661272,0.0289319940704532,0.330310165282257,0.443721498040287
"9",5,"mult",0.38467541395107,0.0371143354117387,0.311932653233922,0.457418174668217
"10",5,"obs",0.452387195733281,0.0299247362514983,0.393735790433484,0.511038601033078
